                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.6.1"                                 "CRMATH"                               "20260811"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             dyn_freq_cpd                         detuning_cut_cpd 
                                       1                                     6492                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999685420193E-001                  2.5221153205164165E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999685420193E-001                  2.5221153205164165E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2691105977869048E+000                  5.3813272374703223E-007                 -6.2691105977869048E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2691105977869048E+000                  5.3813272374703223E-007                 -6.2691105977869670E+000                 -1.9111873494510611E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6850944640620784E+000                  9.9083989845613452E-001                  6.4788418196840747E-001                  3.4094709917693318E+000                  0.0000000000000000E+000                  1.3906813415367223E+001                 -7.2972944483847102E-001                  6.5100346065966832E+000                  6.2125492022424944E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384652E-003                  8.5724019738533126E-003                  3.5011630156384661E-003                  8.5724019738533056E-003                  1.2949999999999897E+000                  5.1794487437478576E-001                                        0                                        4                  1.2528996194952633E+000                  1.8793494292428950E-001 
                                       2                                     6490                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999797920158E-001                  2.5225211711064929E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999797920158E-001                  2.5225211711064929E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2691045372066876E+000                  5.3814023344248644E-007                 -6.2691045372066876E+000                 -9.8999999999999986E+001                 -2.1674159687806643E+001                 -6.2691045372066876E+000                  5.3814023344248644E-007                 -6.2691045372067578E+000                 -1.9060199427288786E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6828065390242575E+000                  9.8168385199768016E-001                  6.4788200881482116E-001                  3.4094753380765046E+000                  0.0000000000000000E+000                  1.3906813415428154E+001                 -7.2972944479906310E-001                  6.5100346066180625E+000                  6.2125492022423590E-001                  8.5000200040880936E-001                  1.2966660757481649E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384639E-003                  8.5724019738533108E-003                  3.5011630156384674E-003                  8.5724019738533039E-003                  1.2949999999999837E+000                  5.1794487437478576E-001                                        0                                        3                  1.2529090235527629E+000                  1.8793635353291444E-001 
                                       3                                     6488                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5234885614855138E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5234885614855138E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2690972657333059E+000                  5.3814924370005324E-007                 -6.2690972657333059E+000                 -9.8999999999999986E+001                 -2.1674159687806643E+001                 -6.2690972657333059E+000                  5.3814924370005324E-007                 -6.2690972657333823E+000                 -1.9023502747073046E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6829082582793187E+000                  9.8209164754213119E-001                  6.4788246807692496E-001                  3.4094744195522968E+000                  0.0000000000000000E+000                  1.3906813415435698E+001                 -7.2972944479126700E-001                  6.5100346066178565E+000                  6.2125492022423690E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384652E-003                  8.5724019738533126E-003                  3.5011630156384669E-003                  8.5724019738533039E-003                  1.2949999999999897E+000                  5.1794487437478576E-001                                        0                                        2                  1.2529070361460548E+000                  1.8793605542190822E-001 
                                       4                                     6488                  5.3680000000000008E-005                 -4.7624562618571247E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5243464590238968E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5243464590238968E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2690885410039208E+000                  5.3816005492119061E-007                 -6.2690885410039208E+000                 -9.8999999999999986E+001                 -2.1130091643456367E+001                 -6.2690885410039208E+000                  5.3816005492119061E-007                 -6.2690885410040016E+000                 -1.8998371255022981E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6830471157077564E+000                  9.8264763500867636E-001                  6.4788274695332160E-001                  3.4094738617995035E+000                  0.0000000000000000E+000                  1.3906813415446518E+001                 -7.2972944478084500E-001                  6.5100346066182997E+000                  6.2125492022423734E-001                  8.5000200040880936E-001                  1.2966660757481649E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384639E-003                  8.5724019738533108E-003                  3.5011630156384669E-003                  8.5724019738533039E-003                  1.2949999999999837E+000                  5.1794487437478576E-001                                        0                                        2                  1.2529058293403763E+000                  1.8793587440105644E-001 
                                       5                                     6488                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5236650287166983E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5236650287166983E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2690780728072388E+000                  5.3817302684100914E-007                 -6.2690780728072397E+000                 -9.8999999999999986E+001                 -2.1674159687806643E+001                 -6.2690780728072388E+000                  5.3817302684100914E-007                 -6.2690780728073232E+000                 -1.8982020035835241E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6831092257537752E+000                  9.8289616752835107E-001                  6.4788279312112096E-001                  3.4094737694639048E+000                  0.0000000000000000E+000                  1.3906813415464168E+001                 -7.2972944476552770E-001                  6.5100346066206747E+000                  6.2125492022423712E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384652E-003                  8.5724019738533126E-003                  3.5011630156384669E-003                  8.5724019738533039E-003                  1.2949999999999897E+000                  5.1794487437478576E-001                                        0                                        2                  1.2529056295546228E+000                  1.8793584443319342E-001 
                                       6                                     6488                  9.9299200000000013E-005                 -4.6040937697618753E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5237001950963304E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5237001950963304E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2690655131197506E+000                  5.3818859089501651E-007                 -6.2690655131197497E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2690655131197506E+000                  5.3818859089501651E-007                 -6.2690655131198358E+000                 -1.8972054281187219E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6831267859065053E+000                  9.8296622717897597E-001                  6.4788270264097336E-001                  3.4094739504242004E+000                  0.0000000000000000E+000                  1.3906813415489374E+001                 -7.2972944474472545E-001                  6.5100346066251102E+000                  6.2125492022423556E-001                  8.5000200040880936E-001                  1.2966660757481649E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384639E-003                  8.5724019738533108E-003                  3.5011630156384669E-003                  8.5724019738533039E-003                  1.2949999999999837E+000                  5.1794487437478576E-001                                        0                                        2                  1.2529060210969130E+000                  1.8793590316453693E-001 
                                       7                                     6488                  1.2915904000000000E-004                 -4.5249125237142502E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5235759922529861E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5235759922529861E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2690504446101398E+000                  5.3820726449319211E-007                 -6.2690504446101398E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2690504446101398E+000                  5.3820726449319211E-007                 -6.2690504446102269E+000                 -1.8966439967360646E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6831216634974919E+000                  9.8294540140158626E-001                  6.4788253457030631E-001                  3.4094742865655339E+000                  0.0000000000000000E+000                  1.3906813415522402E+001                 -7.2972944471808754E-001                  6.5100346066315327E+000                  6.2125492022423290E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384652E-003                  8.5724019738533126E-003                  3.5011630156384669E-003                  8.5724019738533039E-003                  1.2949999999999897E+000                  5.1794487437478576E-001                                        0                                        2                  1.2529067484034540E+000                  1.8793601226051809E-001 
                                       8                                     6488                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5227142116207675E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5227142116207675E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2690323668892205E+000                  5.3822966810095440E-007                 -6.2690323668892205E+000                 -9.8999999999999986E+001                 -2.1975189683470624E+001                 -6.2690323668892205E+000                  5.3822966810095440E-007                 -6.2690323668893084E+000                 -1.8963552690251436E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6831052373193880E+000                  9.8287927242788076E-001                  6.4788232243966104E-001                  3.4094747108268249E+000                  0.0000000000000000E+000                  1.3906813415565125E+001                 -7.2972944468426160E-001                  6.5100346066404633E+000                  6.2125492022422901E-001                  8.5000200040880936E-001                  1.2966660757481649E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384639E-003                  8.5724019738533108E-003                  3.5011630156384669E-003                  8.5724019738533039E-003                  1.2949999999999837E+000                  5.1794487437478576E-001                                        0                                        2                  1.2529076663751033E+000                  1.8793614995626548E-001 
                                       9                                     6488                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.8500000000000001E+000                  3.3565677638763681E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5231471172319107E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999816670149E-001                  2.5231471172319107E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2690106801046594E+000                  5.3825654562941570E-007                 -6.2690106801046594E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2690106801046594E+000                  5.3825654562941570E-007                 -6.2690106801047474E+000                 -1.8962212560578731E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6830836047458928E+000                  9.8279227052153206E-001                  6.4788208663347724E-001                  3.4094751824391922E+000                  0.0000000000000000E+000                  1.3906813415618506E+001                 -7.2972944464239908E-001                  6.5100346066520087E+000                  6.2125492022422379E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384652E-003                  8.5724019738533126E-003                  3.5011630156384669E-003                  8.5724019738533039E-003                  1.2949999999999897E+000                  5.1794487437478576E-001                                        0                                        2                  1.2529086868007868E+000                  1.8793630302011802E-001 
