gyre [9.1.1]
------------

OpenMP Threads   : 12
Input filename   : gyre_ad_wide_hi.in

Model Init
----------

Reading from MESA file
   File name ../mesa/LOGS/profile331.data.GYRE
   File version 1.01
   Read 7137 points
   No need to add central point

Mode Search
-----------

Mode parameters
   l : 16
   m : 0

Building frequency grid (REAL axis)
   added scan interval :  0.5234E+00 ->  0.2094E+01 (3000 points, INVERSE)

Building spatial grid
   Scaffold grid from model
   Split 266 subinterval(s) in iteration 1
   Split 25 subinterval(s) in iteration 2
   Split 0 subinterval(s) in iteration 3
   Final grid has 1 segment(s) and 7428 point(s):
      Segment 1 : x range 0.0000 -> 1.0012 (1 -> 7428)

Starting search (adiabatic)

Scanning frequencies
  Time elapsed :     2.085 s

Finding roots
  Time elapsed :      0.429 s

Processing modes
   id    l     m    n_pg    n_p    n_g       Re(omega)       Im(omega)        chi n_iter
   22   16     0    -160      0    160  0.59376556E+00  0.00000000E+00 0.3117E-12      5
   23   16     0    -159      0    159  0.59753142E+00  0.00000000E+00 0.2312E-12      6
   24   16     0    -158      0    158  0.60097090E+00  0.00000000E+00 0.3140E-12      5
   25   16     0    -157      0    157  0.60469512E+00  0.00000000E+00 0.8925E-14      5
   26   16     0    -156      0    156  0.60879136E+00  0.00000000E+00 0.4155E-12      5
   27   16     0    -155      0    155  0.61273822E+00  0.00000000E+00 0.3507E-12      6
   28   16     0    -154      0    154  0.61632020E+00  0.00000000E+00 0.2612E-12      5
   29   16     0    -153      0    153  0.62024819E+00  0.00000000E+00 0.3047E-12      5
   30   16     0    -152      0    152  0.62458726E+00  0.00000000E+00 0.2048E-12      6
   31   16     0    -151      0    151  0.62876284E+00  0.00000000E+00 0.2443E-12      6
   32   16     0    -150      0    150  0.63252343E+00  0.00000000E+00 0.2054E-12      5
   33   16     0    -149      0    149  0.63664557E+00  0.00000000E+00 0.1521E-12      5
   34   16     0    -148      0    148  0.64121116E+00  0.00000000E+00 0.3687E-12      6
   35   16     0    -147      0    147  0.64559287E+00  0.00000000E+00 0.5514E-12      5
   36   16     0    -146      0    146  0.64955776E+00  0.00000000E+00 0.2880E-12      5
   37   16     0    -145      0    145  0.65393577E+00  0.00000000E+00 0.2014E-12      5
   38   16     0    -144      0    144  0.65875664E+00  0.00000000E+00 0.2708E-12      6
   39   16     0    -143      0    143  0.66335075E+00  0.00000000E+00 0.1461E-12      6
   40   16     0    -142      0    142  0.66753222E+00  0.00000000E+00 0.8603E-13      5
   41   16     0    -141      0    141  0.67218807E+00  0.00000000E+00 0.9084E-14      5
   42   16     0    -140      0    140  0.67727351E+00  0.00000000E+00 0.1566E-14      6
   43   16     0    -139      0    139  0.68207207E+00  0.00000000E+00 0.2883E-12      6
   44   16     0    -138      0    138  0.68649084E+00  0.00000000E+00 0.3444E-12      5
   45   16     0    -137      0    137  0.69147877E+00  0.00000000E+00 0.3542E-12      5
   46   16     0    -136      0    136  0.69688006E+00  0.00000000E+00 0.4211E-13      6
   47   16     0    -135      0    135  0.70191364E+00  0.00000000E+00 0.7031E-12      5
   48   16     0    -134      0    134  0.70655427E+00  0.00000000E+00 0.4583E-12      5
   49   16     0    -133      0    133  0.71187606E+00  0.00000000E+00 0.2845E-12      5
   50   16     0    -132      0    132  0.71761871E+00  0.00000000E+00 0.2024E-12      6
   51   16     0    -131      0    131  0.72292643E+00  0.00000000E+00 0.3263E-12      6
   52   16     0    -130      0    130  0.72784659E+00  0.00000000E+00 0.5591E-12      5
   53   16     0    -129      0    129  0.73352691E+00  0.00000000E+00 0.1201E-11      5
   54   16     0    -128      0    128  0.73960473E+00  0.00000000E+00 0.2306E-12      5
   55   16     0    -127      0    127  0.74515660E+00  0.00000000E+00 0.4107E-12      5
   56   16     0    -126      0    126  0.75039675E+00  0.00000000E+00 0.5718E-13      5
   57   16     0    -125      0    125  0.75650430E+00  0.00000000E+00 0.6641E-12      5
   58   16     0    -124      0    124  0.76296643E+00  0.00000000E+00 0.3407E-13      6
   59   16     0    -123      0    123  0.76880003E+00  0.00000000E+00 0.6657E-12      6
   60   16     0    -122      0    122  0.77436643E+00  0.00000000E+00 0.2181E-12      5
   61   16     0    -121      0    121  0.78091372E+00  0.00000000E+00 0.2469E-12      5
   62   16     0    -120      0    120  0.78780500E+00  0.00000000E+00 0.1731E-12      6
   63   16     0    -119      0    119  0.79398458E+00  0.00000000E+00 0.1806E-12      6
   64   16     0    -118      0    118  0.79990935E+00  0.00000000E+00 0.2739E-12      6
   65   16     0    -117      0    117  0.80691735E+00  0.00000000E+00 0.1522E-12      5
   66   16     0    -116      0    116  0.81426970E+00  0.00000000E+00 0.1432E-12      6
   67   16     0    -115      0    115  0.82081678E+00  0.00000000E+00 0.1345E-12      5
   68   16     0    -114      0    114  0.82713527E+00  0.00000000E+00 0.8226E-13      6
   69   16     0    -113      0    113  0.83465303E+00  0.00000000E+00 0.2525E-12      5
   70   16     0    -112      0    112  0.84251167E+00  0.00000000E+00 0.8144E-13      6
   71   16     0    -111      0    111  0.84945723E+00  0.00000000E+00 0.4484E-12      5
   72   16     0    -110      0    110  0.85617636E+00  0.00000000E+00 0.2895E-12      6
   73   16     0    -109      0    109  0.86422353E+00  0.00000000E+00 0.2152E-13      5
   74   16     0    -108      0    108  0.87263813E+00  0.00000000E+00 0.1185E-12      6
   75   16     0    -107      0    107  0.88007101E+00  0.00000000E+00 0.2042E-12      6
   76   16     0    -106      0    106  0.88721933E+00  0.00000000E+00 0.9598E-13      6
   77   16     0    -105      0    105  0.89581841E+00  0.00000000E+00 0.7942E-12      5
   78   16     0    -104      0    104  0.90487483E+00  0.00000000E+00 0.1183E-12      6
   79   16     0    -103      0    103  0.91291277E+00  0.00000000E+00 0.5725E-13      6
   80   16     0    -102      0    102  0.92048967E+00  0.00000000E+00 0.3953E-12      5
   81   16     0    -101      0    101  0.92966473E+00  0.00000000E+00 0.2605E-13      5
   82   16     0    -100      0    100  0.93945740E+00  0.00000000E+00 0.1336E-12      5
   83   16     0     -99      0     99  0.94822834E+00  0.00000000E+00 0.4134E-13      6
   84   16     0     -98      0     98  0.95629056E+00  0.00000000E+00 0.2198E-13      6
   85   16     0     -97      0     97  0.96609990E+00  0.00000000E+00 0.2361E-12      5
   86   16     0     -96      0     96  0.97673005E+00  0.00000000E+00 0.3950E-13      5
   87   16     0     -95      0     95  0.98634690E+00  0.00000000E+00 0.4815E-13      6
   88   16     0     -94      0     94  0.99500070E+00  0.00000000E+00 0.2877E-12      6
   89   16     0     -93      0     93  0.10055608E+01  0.00000000E+00 0.2815E-12      6
   90   16     0     -92      0     92  0.10171622E+01  0.00000000E+00 0.5074E-13      6
   91   16     0     -91      0     91  0.10277480E+01  0.00000000E+00 0.1300E-12      6
   92   16     0     -90      0     90  0.10370912E+01  0.00000000E+00 0.3662E-12      6
   93   16     0     -89      0     89  0.10485043E+01  0.00000000E+00 0.1898E-12      6
   94   16     0     -88      0     88  0.10612020E+01  0.00000000E+00 0.1862E-12      6
   95   16     0     -87      0     87  0.10729057E+01  0.00000000E+00 0.1926E-12      5
   96   16     0     -86      0     86  0.10830427E+01  0.00000000E+00 0.7797E-13      6
   97   16     0     -85      0     85  0.10953907E+01  0.00000000E+00 0.4579E-14      5
   98   16     0     -84      0     84  0.11093310E+01  0.00000000E+00 0.1685E-12      5
   99   16     0     -83      0     83  0.11223030E+01  0.00000000E+00 0.3663E-14      6
  100   16     0     -82      0     82  0.11332948E+01  0.00000000E+00 0.7473E-13      5
  101   16     0     -81      0     81  0.11467015E+01  0.00000000E+00 0.2139E-12      6
  102   16     0     -80      0     80  0.11620529E+01  0.00000000E+00 0.2474E-12      6
  103   16     0     -79      0     79  0.11763980E+01  0.00000000E+00 0.4956E-13      6
  104   16     0     -78      0     78  0.11883700E+01  0.00000000E+00 0.4764E-13      6
  105   16     0     -77      0     77  0.12030572E+01  0.00000000E+00 0.3359E-12      5
  106   16     0     -76      0     76  0.12200260E+01  0.00000000E+00 0.3223E-13      6
  107   16     0     -75      0     75  0.12359359E+01  0.00000000E+00 0.9540E-13      6
  108   16     0     -74      0     74  0.12490521E+01  0.00000000E+00 0.9085E-13      6
  109   16     0     -73      0     73  0.12651791E+01  0.00000000E+00 0.2291E-12      6
  110   16     0     -72      0     72  0.12839314E+01  0.00000000E+00 0.1485E-13      6
  111   16     0     -71      0     71  0.13014739E+01  0.00000000E+00 0.6488E-13      6
