                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.6.1"                                 "CRMATH"                               "20260810"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             dyn_freq_cpd                         detuning_cut_cpd 
                                       1                                     6470                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999619795121E-001                  3.0663820875823180E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999619795121E-001                  3.0663820875823180E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6453858434759816E+000                  2.2626332063120277E-007                 -6.6453858434759816E+000                 -9.8999999999999986E+001                 -2.2100128420078924E+001                 -6.6453858434759816E+000                  2.2626332063120277E-007                 -6.6453858434760171E+000                 -1.9732209369717069E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6867351626369702E+000                  1.0993555845101219E+000                  6.9886062784561720E-001                  3.3413763672758798E+000                  0.0000000000000000E+000                  1.3771829781114983E+001                 -8.4776444036613319E-001                  6.4927419830671953E+000                  6.2125707887343962E-001                  8.5000200040880936E-001                  1.2966660757481649E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384648E-003                  8.5724019738533108E-003                  3.5011630156384695E-003                  8.5724019738533056E-003                  1.3999999999999775E+000                  5.5994040472949480E-001                                        0                                        4                  1.0923976121599024E+000                  1.6385964182398535E-001 
                                       2                                     6475                  2.1999999999999999E-005                 -4.9208187539523749E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999755732605E-001                  3.0650092448937368E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999755732605E-001                  3.0650092448937368E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6453809126544607E+000                  2.2626588955719804E-007                 -6.6453809126544607E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6453809126544607E+000                  2.2626588955719804E-007                 -6.6453809126545016E+000                 -1.9680524096482294E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6844480058297835E+000                  1.0902030882178062E+000                  6.9885869331383332E-001                  3.3413802363394476E+000                  0.0000000000000000E+000                  1.3771829781186295E+001                 -8.4776444031980513E-001                  6.4927419830920066E+000                  6.2125707887342352E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384648E-003                  8.5724019738533126E-003                  3.5011630156384669E-003                  8.5724019738533039E-003                  1.3999999999999910E+000                  5.5994040472949480E-001                                        0                                        3                  1.0924049111875767E+000                  1.6386073667813650E-001 
                                       3                                     6473                  3.6400000000000004E-005                 -4.8416375079047498E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0661127236535760E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0661127236535760E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6453749967032376E+000                  2.2626897176786170E-007                 -6.6453749967032376E+000                 -9.8999999999999986E+001                 -2.2100128420078924E+001                 -6.6453749967032376E+000                  2.2626897176786170E-007                 -6.6453749967032811E+000                 -1.9643820177983532E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6845959797789898E+000                  1.0907962129359623E+000                  6.9885930777449878E-001                  3.3413790074181167E+000                  0.0000000000000000E+000                  1.3771829781196482E+001                 -8.4776444030963505E-001                  6.4927419830920785E+000                  6.2125707887342474E-001                  8.5000200040880936E-001                  1.2966660757481649E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384648E-003                  8.5724019738533108E-003                  3.5011630156384656E-003                  8.5724019738533039E-003                  1.3999999999999775E+000                  5.5994040472949480E-001                                        0                                        2                  1.0924025928097325E+000                  1.6386038892145988E-001 
                                       4                                     6473                  5.3680000000000008E-005                 -4.7624562618571247E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0650879982503008E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0650879982503008E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6453678982232391E+000                  2.2627267013144569E-007                 -6.6453678982232391E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6453678982232391E+000                  2.2627267013144569E-007                 -6.6453678982232853E+000                 -1.9618684053957686E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6847703162777150E+000                  1.0914943371661270E+000                  6.9885969689213101E-001                  3.3413782291828520E+000                  0.0000000000000000E+000                  1.3771829781212134E+001                 -8.4776444029536679E-001                  6.4927419830935209E+000                  6.2125707887342474E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384648E-003                  8.5724019738533126E-003                  3.5011630156384656E-003                  8.5724019738533039E-003                  1.3999999999999910E+000                  5.5994040472949480E-001                                        0                                        2                  1.0924011246602083E+000                  1.6386016869903125E-001 
                                       5                                     6473                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0652074024657156E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0652074024657156E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6453593809936073E+000                  2.2627710775446273E-007                 -6.6453593809936073E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6453593809936073E+000                  2.2627710775446273E-007                 -6.6453593809936553E+000                 -1.9602329957426907E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6848561924201340E+000                  1.0918380870479258E+000                  6.9885981954819243E-001                  3.3413779838707294E+000                  0.0000000000000000E+000                  1.3771829781236550E+001                 -8.4776444027485109E-001                  6.4927419830974609E+000                  6.2125707887342374E-001                  8.5000200040880936E-001                  1.2966660757481649E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384648E-003                  8.5724019738533108E-003                  3.5011630156384656E-003                  8.5724019738533039E-003                  1.3999999999999775E+000                  5.5994040472949480E-001                                        0                                        2                  1.0924006618765560E+000                  1.6386009928148340E-001 
                                       6                                     6473                  9.9299200000000013E-005                 -4.6040937697618753E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0662949828298551E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0662949828298551E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6453491617076956E+000                  2.2628243229290878E-007                 -6.6453491617076947E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6453491617076956E+000                  2.2628243229290878E-007                 -6.6453491617077445E+000                 -1.9592362500415739E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6848894469488327E+000                  1.0919710281081454E+000                  6.9885978102090462E-001                  3.3413780609253050E+000                  0.0000000000000000E+000                  1.3771829781270231E+001                 -8.4776444024758757E-001                  6.4927419831039233E+000                  6.2125707887342119E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384648E-003                  8.5724019738533126E-003                  3.5011630156384656E-003                  8.5724019738533039E-003                  1.3999999999999910E+000                  5.5994040472949480E-001                                        0                                        2                  1.0924008072407241E+000                  1.6386012108610862E-001 
                                       7                                     6473                  1.2915904000000000E-004                 -4.5249125237142502E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0665825147380525E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0665825147380525E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6453369005873713E+000                  2.2628882085046711E-007                 -6.6453369005873713E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6453369005873713E+000                  2.2628882085046711E-007                 -6.6453369005874210E+000                 -1.9586747244345812E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6848946588652352E+000                  1.0919916065356339E+000                  6.9885964640184417E-001                  3.3413783301634257E+000                  0.0000000000000000E+000                  1.3771829781313853E+001                 -8.4776444021294506E-001                  6.4927419831129356E+000                  6.2125707887341730E-001                  8.5000200040880936E-001                  1.2966660757481649E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384648E-003                  8.5724019738533108E-003                  3.5011630156384656E-003                  8.5724019738533039E-003                  1.3999999999999775E+000                  5.5994040472949480E-001                                        0                                        2                  1.0924013151610776E+000                  1.6386019727416165E-001 
                                       8                                     6473                  1.6499084799999998E-004                 -4.4457312776666260E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0669639540610982E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0669639540610982E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6453221901654320E+000                  2.2629648583482881E-007                 -6.6453221901654320E+000                 -9.8999999999999986E+001                 -2.1623007165359262E+001                 -6.6453221901654320E+000                  2.2629648583482881E-007                 -6.6453221901654818E+000                 -1.9583859487290415E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6848849231547445E+000                  1.0919522776291568E+000                  6.9885945336958710E-001                  3.3413787162279402E+000                  0.0000000000000000E+000                  1.3771829781369274E+001                 -8.4776444016951069E-001                  6.4927419831249606E+000                  6.2125707887341175E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384648E-003                  8.5724019738533126E-003                  3.5011630156384656E-003                  8.5724019738533039E-003                  1.3999999999999910E+000                  5.5994040472949480E-001                                        0                                        2                  1.0924020434759791E+000                  1.6386030652139685E-001 
                                       9                                     6473                  2.0798901759999997E-004                 -4.3665500316190009E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0685557874961301E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999769795100E-001                  3.0685557874961301E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6453045418805337E+000                  2.2630568195904225E-007                 -6.6453045418805337E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6453045418805337E+000                  2.2630568195904225E-007                 -6.6453045418805834E+000                 -1.9582519135842166E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6848674470101690E+000                  1.0918819169682785E+000                  6.9885922532829758E-001                  3.3413791723105191E+000                  0.0000000000000000E+000                  1.3771829781438147E+001                 -8.4776444011598073E-001                  6.4927419831403306E+000                  6.2125707887340464E-001                  8.5000200040880936E-001                  1.2966660757481649E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384648E-003                  8.5724019738533108E-003                  3.5011630156384656E-003                  8.5724019738533039E-003                  1.3999999999999775E+000                  5.5994040472949480E-001                                        0                                        2                  1.0924029038813461E+000                  1.6386043558220190E-001 
