                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun                      mixing_length_alpha                               E_star_erg                       dyn_freq_rad_per_s 
                                     988                                     6853                  2.0000000000000000E+000                  2.0000000000000000E-002                  8.8573111039160919E+008                  5.0000000000000000E+005                  7.5862089802759092E+003                  2.0605840228379929E+001                  2.6278387987752057E+000                 -2.9719255940063576E+000                  2.8645541751673981E-001                  4.8492725698278045E-007                  6.9380480693457836E-001                  7.2581054622244595E-005                  1.0945225232525706E-002                  1.7265570793825037E-003                  1.8639142794389077E-003                  2.0000000000000000E+000                  0.0000000000000000E+000                  1.2448537992932556E+000                  4.6456136513799726E-004                  7.1447167662070354E-001                  3.9133373835239672E-003                  7.6771436500990969E-003                  1.4650783367946677E-002                  3.7328769495474142E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0146724999399325E+004                  1.7396098215047871E+006                  9.7059861565142488E+008                  2.0632963074044774E+001                  2.0632952473884416E+001                  6.0704483425020983E-036                  1.3459261569453826E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.7951548089294248E+016                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.6.1"                                 "CRMATH"                               "20260810"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033                  1.8000000000000000E+000                  5.7737345331254988E+048                  2.0842016196800079E-004 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40 
                                    zone                                     mass                                        q                                       dq                                   radius                                radius_cm                                     logR                                     logT                              temperature                                   logRho                                  density                                     logP                                 pressure                                  entropy                                       mu                                   csound                                   gamma1                                   gamma3                                    grada                                   chiRho                                     chiT                                       cp                                       cv                               luminosity                                  opacity                 pressure_scale_height_cm                                 brunt_N2                                   lamb_S                              mixing_type                                 conv_vel                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       h1                                      he4                         dGamma1_dlnRho_s                         dGamma1_dlnRho_T                         dGamma1_dlnT_Rho                                t_thermal                               omega_conv 
                                       1                  2.0000000000000000E+000                  1.0000000000000000E+000                  2.9999999999999998E-013                  2.6278387987752057E+000                  1.8281874523079105E+011                  4.1959872049594021E-001                  3.8802280177808823E+000                  7.5897595584559931E+003                 -7.6442004072858376E+000                  2.2688176534229567E-008                  4.0451829752178829E+000                  1.1096422268260176E+004                  2.0777971051989500E+001                  1.2912122990567483E+000                  7.9435342510368081E+005                  1.2901617512722070E+000                  1.2632095142253845E+000                  2.0401284857153548E-001                  9.9366795722886547E-001                  1.1264554646641223E+000                  3.5807222820407069E+008                  2.7578317779286993E+008                  2.0605840228379929E+001                  1.7599763556086929E+000                  6.1586170576108932E+007                 -3.7454451722671913E-005                  6.1448041648080469E-006                                        1                  0.0000000000000000E+000                  6.9999999994303874E-001                  2.8000000010998599E-001                  1.9999999946975322E-002                  6.9999999994303874E-001                  2.7997020242534831E-001                 -2.3629520617901814E-001                  6.4325338352633293E-002                 -1.1421337756401917E+000                  4.1104896602471894E-002                  0.0000000000000000E+000 
                                       2                  1.9999999999994003E+000                  9.9999999999970002E-001                  4.5117187500000001E-013                  2.6278369991397041E+000                  1.8281862003014923E+011                  4.1959842307585654E-001                  3.8807387601317678E+000                  7.5986905766446753E+003                 -7.6436687623336077E+000                  2.2715967447941151E-008                  4.0462869128533310E+000                  1.1124664257890008E+004                  2.0780815235538714E+001                  1.2910309396081256E+000                  7.9448841345136950E+005                  1.2889007036570772E+000                  1.2618295944889837E+000                  2.0314192915430404E-001                  9.9359823860736141E-001                  1.1278422719059580E+000                  3.6012655336835337E+008                  2.7761732842284036E+008                  2.0605840228379932E+001                  1.7863847354788751E+000                  6.1667294943517454E+007                 -3.7849895273519019E-005                  6.1452254082590971E-006                                        1                  4.0895300406018146E+003                  6.9999999994303874E-001                  2.8000000010998599E-001                  1.9999999946975322E-002                  6.9999999994303874E-001                  2.7997020242534831E-001                 -2.3336962706834449E-001                  6.4105688649571918E-002                 -1.1361401323827329E+000                  1.0335062772712666E-001                  3.6871386879773883E-005 
                                       3                  1.9999999999984976E+000                  9.9999999999924882E-001                  3.2812500000000028E-013                  2.6278342959631433E+000                  1.8281843197015588E+011                  4.1959797633000884E-001                  3.8812753079442617E+000                  7.6080841575222748E+003                 -7.6431284938119655E+000                  2.2744244019598258E-008                  4.0474292302912671E+000                  1.1153963790466471E+004                  2.0783866279019350E+001                  1.2908379790096320E+000                  7.9463203395715111E+005                  1.2875805670315510E+000                  1.2603846576451700E+000                  2.0222808153786168E-001                  9.9352405939176414E-001                  1.1293160202475412E+000                  3.6230856687649006E+008                  2.7956498318777496E+008                  2.0605840228379932E+001                  1.8145312111130798E+000                  6.1752714629384853E+007                 -3.9050180607070553E-005                  6.1465021189630415E-006                                        1                  4.3176081765656536E+003                  6.9999999994303874E-001                  2.8000000010998599E-001                  1.9999999946975322E-002                  6.9999999994303874E-001                  2.7997020242534831E-001                 -2.3031661079211563E-001                  6.3872365712722479E-002                 -1.1298232823430643E+000                  1.4895084171287185E-001                  3.8865823907243138E-005 
                                       4                  1.9999999999978417E+000                  9.9999999999892075E-001                  7.9687500000000008E-013                  2.6278323324572064E+000                  1.8281829536904785E+011                  4.1959765182700898E-001                  3.8820565571955732E+000                  7.6217826032677749E+003                 -7.6423628177689249E+000                  2.2784378269263160E-008                  4.0490730133794823E+000                  1.1196260986467569E+004                  2.0788400278466465E+001                  1.2905526934187408E+000                  7.9484502045480837E+005                  1.2856687398833129E+000                  1.2582913872940955E+000                  2.0090074400501962E-001                  9.9341440747529342E-001                  1.1314913641635378E+000                  3.6552715935789722E+008                  2.8243692156360263E+008                  2.0605840228379936E+001                  1.8562844023636431E+000                  6.1877607285734229E+007                 -3.9941706570311587E-005                  6.1474550438059066E-006                                        1                  4.4921578654867553E+003                  6.9999999994303874E-001                  2.8000000010998599E-001                  1.9999999946975322E-002                  6.9999999994303874E-001                  2.7997020242534831E-001                 -2.2591196376369516E-001                  6.3528282681238626E-002                 -1.1205939920980852E+000                  2.6087918085934830E-001                  4.0389686481390988E-005 
                                       5                  1.9999999999962477E+000                  9.9999999999812383E-001                  5.2734375000000020E-013                  2.6278275723302587E+000                  1.8281796420701608E+011                  4.1959686513346184E-001                  3.8829974592677936E+000                  7.6383131495886164E+003                 -7.6414959534209119E+000                  2.2829901965528381E-008                  4.0509999587566439E+000                  1.1246048671673176E+004                  2.0794051317240385E+001                  1.2902017896175519E+000                  7.9510685234233004E+005                  1.2833794484716288E+000                  1.2557838015164740E+000                  1.9930530535169894E-001                  9.9327953319334739E-001                  1.1341617033847533E+000                  3.6947502629424059E+008                  2.8595805307592231E+008                  2.0605840228379936E+001                  1.9077753986206789E+000                  6.2028605760258220E+007                 -4.2168810035878075E-005                  6.1498520667063414E-006                                        1                  4.9479652269977341E+003                  6.9999999994303874E-001                  2.8000000010998599E-001                  1.9999999946975322E-002                  6.9999999994303874E-001                  2.7997020242534831E-001                 -2.2066528956210968E-001                  6.3106673156434603E-002                 -1.1094188590282392E+000                  3.3591178159571172E-001                  4.4359174298967634E-005 
                                       6                  1.9999999999951930E+000                  9.9999999999759648E-001                  1.2480468749999999E-012                  2.6278244285181724E+000                  1.8281774549200925E+011                  4.1959634556320075E-001                  3.8842770100079198E+000                  7.6608509014363262E+003                 -7.6403716953547818E+000                  2.2889078291462567E-008                  4.0535700991734132E+000                  1.1312799737198337E+004                  2.0801988348420085E+001                  1.2897121939543748E+000                  7.9547415666936245E+005                  1.2802959014713278E+000                  1.2524042443527010E+000                  1.9714572472328273E-001                  9.9309142227217806E-001                  1.1378769573651373E+000                  3.7496163458619952E+008                  2.9084870985017747E+008                  2.0605840228379936E+001                  1.9800346567810971E+000                  6.2235310793370664E+007                 -4.3696290839459344E-005                  6.1515099762814429E-006                                        1                  5.2772676330782497E+003                  6.9999999994303874E-001                  2.8000000010998599E-001                  1.9999999946975322E-002                  6.9999999994303874E-001                  2.7997020242534831E-001                 -2.1364352398375455E-001                  6.2522065399338772E-002                 -1.0941373542148609E+000                  5.1665765459186541E-001                  4.7218792724397695E-005 
                                       7                  1.9999999999926970E+000                  9.9999999999634848E-001                  1.3476562499999998E-012                  2.6278170073690355E+000                  1.8281722920266379E+011                  4.1959511908526881E-001                  3.8862184581233663E+000                  7.6951742438605861E+003                 -7.6388450821012599E+000                  2.2969678571741571E-008                  4.0573006401327030E+000                  1.1410393981649426E+004                  2.0814717157918036E+001                  1.2889400484553597E+000                  7.9605469539049314E+005                  1.2756751463810805E+000                  1.2473357690877001E+000                  1.9388667008246657E-001                  9.9279483435933913E-001                  1.1437130365291444E+000                  3.8356785986779112E+008                  2.9851345688273984E+008                  2.0605840228379936E+001                  2.0946981515046001E+000                  6.2551587685420431E+007                 -4.7497342947977589E-005                  6.1556839895344969E-006                                        1                  6.1580348032077254E+003                  6.9999999994303874E-001                  2.8000000010998599E-001                  1.9999999946975322E-002                  6.9999999994303874E-001                  2.7997020242534831E-001                 -2.0322296438857432E-001                  6.1610036481163623E-002                 -1.0707400697576848E+000                  7.1720339687981038E-001                  5.4836814393946372E-005 
                                       8                  1.9999999999900016E+000                  9.9999999999500078E-001                  1.1718750000000008E-012                  2.6278090219938615E+000                  1.8281667366011295E+011                  4.1959379935500091E-001                  3.8881816485993901E+000                  7.7300383512262779E+003                 -7.6374957147416778E+000                  2.3041157110495588E-008                  4.0608913580576651E+000                  1.1505125438116400E+004                  2.0828396196836167E+001                  1.2881223218979074E+000                  7.9667242926622985E+005                  1.2710788795568857E+000                  1.2422889237311121E+000                  1.9061718357514779E-001                  9.9248091277674622E-001                  1.1498629721151785E+000                  3.9262155794453388E+008                  3.0656790307737970E+008                  2.0605840228379932E+001                  2.2171509947711359E+000                  6.2874862533416726E+007                 -5.1890068404981183E-005                  6.1605902927816004E-006                                        1                  7.2914339108360300E+003                  6.9999999994303874E-001                  2.8000000010998599E-001                  1.9999999946975322E-002                  6.9999999994303874E-001                  2.7997020242534831E-001                 -1.9297859306578244E-001                  6.0659613334278689E-002                 -1.0468395510142272E+000                  8.9651596428415115E-001                  6.4580694038074334E-005 
                                       9                  1.9999999999876579E+000                  9.9999999999382894E-001                  5.2734375000000020E-013                  2.6278020996912410E+000                  1.8281619207551962E+011                  4.1959265531379975E-001                  3.8895554124043157E+000                  7.7545287845788880E+003                 -7.6366670477399214E+000                  2.3085163366259177E-008                  4.0632963754565949E+000                  1.1569014768002233E+004                  2.0838461225226560E+001                  1.2875271092939768E+000                  7.9712384070734004E+005                  1.2679092597213426E+000                  1.2388054100139563E+000                  1.8834617700860845E-001                  9.9225253645779232E-001                  1.1543202410668030E+000                  3.9917439530034190E+008                  3.1239190138435936E+008                  2.0605840228379932E+001                  2.3069271587954292E+000                  6.3103160439218476E+007                 -5.5980456020497686E-005                  6.1652373999887743E-006                                        1                  8.4652391032683572E+003                  6.9999999994303874E-001                  2.8000000010998599E-001                  1.9999999946975322E-002                  6.9999999994303874E-001                  2.7997020242534831E-001                 -1.8598515732010301E-001                  5.9978876684214658E-002                 -1.0299748594367195E+000                  9.7881325543330999E-001                  7.4611121926560151E-005 
