l_c,n_c,l_d,n_d,kappa_m0,kappa_max,m_max,n_m,refine
12,-57,10,-98,-2.1668913572217763,-3.8563907914456497,"(-12, 6, 6)",369,1
8,-35,4,-38,-3.3047559484189293,-5.355877391063501,"(-8, 4, 4)",81,1
12,-57,8,-79,-1.4181502053509285,-2.523865063458478,"(-12, 6, 6)",269,1
12,-57,6,-60,-4.02701292904898,-7.166827042278803,"(-12, 6, 6)",169,2
12,-57,6,-61,-5.336433894586264,-9.497187970063415,"(-12, 6, 6)",169,1
12,-57,12,-117,-0.9769621833607871,-1.7386879849544443,"(-12, 6, 6)",469,2
12,-57,9,-89,-2.0703126649398347,-3.684510840785184,"(-12, 6, 6)",319,1
12,-57,7,-70,-2.2391763987378694,-3.985035620607472,"(-12, 6, 6)",219,1
12,-57,11,-108,-1.4391745748605536,-2.561281883966158,"(-12, 6, 6)",419,2
12,-57,14,-136,-0.5360461896173322,0.989355896608684,"(-5, -9, 14)",569,2
12,-57,16,-155,-0.46430982607549237,-0.8782293076610422,"(-4, -12, 16)",669,2
12,-57,11,-107,-1.3461088191064299,-2.395653864687272,"(-12, 6, 6)",419,2
12,-57,17,-164,-0.5056550163385422,0.9782127063219971,"(-4, -13, 17)",719,2
12,-57,9,-88,-1.6670521010213648,-2.9668328085822906,"(-12, 6, 6)",319,1
12,-57,6,-62,-5.688034890260328,-10.122928082719106,"(-12, 6, 6)",169,1
12,-57,10,-99,-1.8545993010941635,-3.3006083312506242,"(-12, 6, 6)",369,2
12,-57,6,-59,-3.9851806313853344,-7.09237859937117,"(-12, 6, 6)",169,2
12,-57,10,-97,-2.1600038357946367,-3.844133151431131,"(-12, 6, 6)",369,2
12,-57,15,-145,-0.5121449484746905,-0.9564896311779926,"(-5, -10, 15)",619,1
12,-57,7,-69,-2.1300195370244137,-3.790770451321581,"(-12, 6, 6)",219,1
12,-57,8,-80,-1.6473079392567402,-2.931694358580982,"(-12, 6, 6)",269,2
10,-48,5,-51,-3.0148036285489144,-5.142304196920393,"(-10, 5, 5)",121,2
12,-57,13,-126,-0.6478434949113664,1.159940012443904,"(-6, -7, 13)",511,2
12,-57,19,-183,-0.4006847750854648,0.7887383026243655,"(-4, -15, 19)",819,2
12,-57,13,-127,-0.5871231401254153,1.0512224446374252,"(-6, -7, 13)",511,2
12,-57,18,-174,-0.4294836397733735,-0.8413905693302807,"(-4, -14, 18)",769,2
12,-57,24,-230,-0.22985987974404656,0.48204767075166155,"(-3, -21, 24)",1069,2
12,-57,21,-202,-0.2851242531703331,-0.5796198427550252,"(-3, -18, 21)",919,2
12,-57,9,-90,-2.1767881174302888,-3.874003937949792,"(-12, 6, 6)",319,1
12,-57,6,-58,-4.746714082042546,-8.44767062945132,"(-12, 6, 6)",169,1
12,-57,11,-109,-1.5915752853663718,-2.8325076169248833,"(-12, 6, 6)",419,2
12,-57,8,-78,-1.6588698898810903,-2.9522710246747437,"(-12, 6, 6)",269,2
12,-57,18,-173,-0.4593689865527955,-0.8999381986523667,"(-4, -14, 18)",769,2
12,-57,10,-100,-2.0812021086264667,-3.7038906542756815,"(-12, 6, 6)",369,2
12,-57,11,-106,-1.604688599081056,-2.8558452254699933,"(-12, 6, 6)",419,2
12,-57,22,-211,-0.26626308342203064,0.5492281776227772,"(-3, -19, 22)",969,2
12,-57,12,-118,-0.9235872262368706,-1.6436972082085637,"(-12, 6, 6)",469,2
12,-57,25,-239,-0.23671541042442018,-0.4980475623765361,"(-3, -22, 25)",1119,2
6,-27,13,-119,-0.42231890229040875,0.7715895634584525,"(-1, -12, 13)",305,2
12,-57,15,-146,-0.47758432242629045,-0.8919436846431615,"(-5, -10, 15)",619,2
12,-57,20,-192,-0.35255187515170094,0.702559636856589,"(-3, -17, 20)",869,1
12,-57,23,-221,-0.23731164467550653,-0.49449626388546203,"(-3, -20, 23)",1019,2
12,-57,7,-71,-1.8765546867090215,-3.339682070054147,"(-12, 6, 6)",219,2
12,-57,17,-165,-0.5034484034601077,0.9739439130026716,"(-4, -13, 17)",719,2
6,-27,3,-30,-2.427681007979792,-3.6897556865906997,"(-6, 3, 3)",49,1
12,-57,8,-81,-2.072325436401001,-3.6880929462295673,"(-12, 6, 6)",269,1
12,-57,16,-154,-0.45397390300451756,-0.8586791925162081,"(-4, -12, 16)",669,2
12,-57,12,-116,-0.908250085881632,-1.6164018818250225,"(-12, 6, 6)",469,2
12,-57,20,-193,-0.3376344624564674,0.6728324597099775,"(-3, -17, 20)",869,1
12,-57,10,-101,-2.415080322896101,-4.298089743529783,"(-12, 6, 6)",369,1
12,-57,10,-96,-1.811996559376471,-3.224788738217961,"(-12, 6, 6)",369,2
12,-57,9,-87,-1.412990326648337,-2.514682088664941,"(-12, 6, 6)",319,2
12,-57,25,-240,-0.23339733870875382,-0.4910663627714464,"(-3, -22, 25)",1119,2
6,-27,5,-48,-1.066995368987228,-1.6216925606559518,"(-6, 3, 3)",101,1
12,-57,6,-57,-4.382651271902669,-7.799752373719656,"(-12, 6, 6)",169,1
12,-57,23,-220,-0.24393985953151867,-0.5083077542024075,"(-3, -20, 23)",1019,2
12,-57,14,-137,-0.5657311592434167,1.044144085218282,"(-5, -9, 14)",569,2
12,-57,19,-184,-0.4113767643800318,0.8097852253233334,"(-4, -15, 19)",819,1
12,-57,9,-91,-1.9171504462234537,-3.411929860715863,"(-12, 6, 6)",319,2
12,-57,11,-105,-1.6741190299931996,-2.979409738071585,"(-12, 6, 6)",419,2
12,-57,11,-110,-1.5102051719756124,-2.6876941933385194,"(-12, 6, 6)",419,2
12,-56,6,-59,-3.918785025662455,-6.9742151290850805,"(-12, 6, 6)",169,2
12,-57,16,-156,-0.5152094333484442,-0.974504519481067,"(-4, -12, 16)",669,1
12,-57,14,-135,-0.4782640167484117,0.8827099870695643,"(-5, -9, 14)",569,2
6,-27,12,-110,-0.3589531914715065,-0.6384912049625292,"(-1, -11, 12)",283,2
