l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
0,9,0,0,1,0,0,6,0,-0.0026068407810123807,0.000738948454077827,0.0018886592089966776,2.076688206212405e-05,5.075475444241953,1,9,5.075475444241953,461.3773039948807
0,10,0,0,1,0,0,7,0,-0.002860347040788969,0.000738948454077827,0.0021204201710575787,-9.784156535632207e-07,6.104544612464256,1,10,6.104544612464256,9644.371695272514
0,11,0,0,1,0,0,8,0,-0.0031193002476985927,0.000738948454077827,0.002359676960396333,-2.0674833224432632e-05,6.242901769989591,1,11,6.242901769989591,712.2334370161184
0,6,0,0,2,0,0,2,0,-0.0018886592089966776,0.0009538753378151529,0.0009538753378151529,1.9091466633628165e-05,3.204803297361089,1,6,3.204803297361089,160.12299385541147
0,7,0,0,2,0,0,3,0,-0.0021204201710575787,0.0009538753378151529,0.0011860096719051476,1.9464838662721588e-05,3.7291214411614173,1,7,3.7291214411614173,227.2185318665944
0,8,0,0,2,0,0,4,0,-0.002359676960396333,0.0009538753378151529,0.00142210207358038,1.63004509991997e-05,4.631365798644961,1,8,4.631365798644961,404.04982300770877
0,9,0,0,2,0,0,5,0,-0.0026068407810123807,0.0009538753378151529,0.0016579761203197167,5.010677122488892e-06,7.8045157160017515,1,9,7.8045157160017515,2578.8182671355967
0,10,0,0,2,0,0,6,0,-0.002860347040788969,0.0009538753378151529,0.0018886592089966776,-1.781249397713857e-05,11.894598922075454,1,10,11.894598922075454,1260.3845063950203
0,8,0,0,3,0,0,3,0,-0.002359676960396333,0.0011860096719051476,0.0011860096719051476,1.2342383413962293e-05,4.802303145089798,1,8,4.802303145089798,461.46447367990004
0,9,0,0,3,0,0,4,0,-0.0026068407810123807,0.0011860096719051476,0.00142210207358038,1.2709644731470106e-06,8.50426386068628,1,9,8.50426386068628,9496.465710985818
0,10,0,0,3,0,0,5,0,-0.002860347040788969,0.0011860096719051476,0.0016579761203197167,-1.6361248564104956e-05,15.37751213202021,1,10,15.37751213202021,1558.084103904596
0,10,0,0,4,0,0,4,0,-0.002860347040788969,0.00142210207358038,0.00142210207358038,-1.6142893628208997e-05,16.233849105874786,1,10,16.233849105874786,1430.0969252082443
0,17,0,0,7,0,0,9,0,-0.004706014722882456,0.0021204201710575787,0.0026068407810123807,2.1246229187503983e-05,119.27505912801314,1,17,119.27505912801314,14628.371977372452
