l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
3,-6,0,17,-65,0,18,-81,0,-0.0005767572162567792,0.00031026085262585596,0.0002664963800371577,1.640623444390532e-11,-0.012734815219497826,2,81,0.012734815219497826,77.05602071959122
3,0,0,5,-3,0,8,-59,0,-0.001168345950483926,0.0009983082697128877,0.00017005261800693826,1.493723590000398e-08,5.828839669381915,1,59,5.828839669381915,64363.122213159215
6,4,0,6,3,0,12,-57,0,-0.002095241425916125,0.0018395688730973574,0.0002556641236449154,-8.429173852398525e-09,13.829936410185569,1,57,13.829936410185569,381525.2823360639
4,1,0,1,3,0,5,-47,0,-0.0014100176816295921,0.0012725407985733764,0.00013747047152902394,-6.4115271917585676e-09,1.2882758065839675,1,47,1.2882758065839675,27328.78367938927
6,1,0,3,1,0,7,-31,0,-0.0015742472041819552,0.0012998983166993359,0.00027435259335342114,3.705870801852182e-09,1.1761247021340877,1,31,1.1761247021340877,87059.29980602438
4,3,0,5,2,0,9,-53,0,-0.0017407293441252403,0.0015302335921351087,0.0002105120631371208,1.6311146989068243e-08,11.145977372384207,1,53,11.145977372384207,142198.29243788574
2,4,0,6,-27,0,6,1,0,-0.0018458787080848657,0.00027163919990915575,0.0015742472041819552,7.696006245260997e-09,3.254410917956925,1,27,3.254410917956925,34254.06144537594
3,1,0,5,-3,0,8,-32,0,-0.0012998983166993359,0.0009983082697128877,0.0003015707678988217,-1.9279087626463895e-08,1.823048821421243,1,32,1.823048821421243,28516.7331407137
5,1,0,5,-1,0,10,-54,0,-0.0014871323890410233,0.0012600188347770935,0.0002271455458374399,3.199157351009563e-08,2.1913765177802014,1,54,2.1913765177802014,15501.901081470492
3,-6,0,17,-91,0,20,-67,0,-0.0005767572162567792,0.00022676168821261262,0.00034999589537539413,3.673312275014051e-10,0.05681181979039661,2,91,0.05681181979039661,2325.79979641197
6,1,0,6,-1,0,12,-53,0,-0.0015742472041819552,0.0013005434184394844,0.0002735579107393063,-1.4587500316454866e-07,10.271685188392492,1,53,10.271685188392492,19259.816217007206
5,1,0,6,-1,0,7,-47,0,-0.0014871323890410233,0.0013005434184394844,0.0001865733007850629,-1.5669816476066717e-08,0.9618331559962812,1,47,0.9618331559962812,11433.101682427336
3,4,0,5,3,0,8,-73,0,-0.0019293062769633813,0.001790781810623974,0.00013845928417760943,-6.518216179784639e-08,18.87470584922602,1,73,18.87470584922602,38185.688815211164
4,4,0,6,3,0,10,-84,0,-0.001988761015099475,0.0018395688730973574,0.0001488121490128511,-3.799929892663381e-07,26.391990926676975,1,84,26.391990926676975,10212.563869129564
6,5,0,1,7,0,7,-65,0,-0.0023528837416548717,0.002215705167770865,0.00013709670334849784,-8.187053550899603e-08,6.546917370045339,1,65,6.546917370045339,10888.657724407356
6,3,0,6,2,0,12,-56,0,-0.0018395688730973574,0.0015790857886420345,0.000260397250723379,-8.583373194387227e-08,4.262860391334204,1,56,4.262860391334204,12925.011795318322
3,2,0,6,-1,0,7,-61,0,-0.0014462919592611418,0.0013005434184394844,0.00014587559709580093,1.2705627414348782e-07,7.546641078399442,1,61,7.546641078399442,8653.275933112
5,5,0,3,5,0,8,-81,0,-0.0022961841876560085,0.002171276389406632,0.00012502065741260145,1.1285916322496814e-07,12.902132844935698,1,81,12.902132844935698,13181.39282168748
5,3,0,2,3,0,7,-49,0,-0.001790781810623974,0.0016105693803172012,0.00018024108064176023,2.8650334987475115e-08,7.540107139012493,1,49,7.540107139012493,47376.0598799807
