l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
3,5,0,1,6,0,4,-29,0,-0.0018791792959005039,0.0017098504656313984,0.00016932909432641483,2.640573094382648e-10,2.6068333466037785,1,29,2.6068333466037785,1657235.1430621957
3,2,0,1,2,0,4,-23,0,-0.001257209295342265,0.0010450091125652884,0.00021219957477387836,-6.080030981719248e-10,1.291707811164417,1,23,1.291707811164417,450721.54856705514
5,3,0,4,1,0,9,-39,0,-0.001548847611724769,0.0012825574052606177,0.0002662476568484346,-4.254961571666452e-08,4.886063217651035,1,39,4.886063217651035,30573.394746313515
4,4,0,6,2,0,10,-92,0,-0.0017201142970912078,0.0015907002056791103,0.00012931121477257452,-1.0287663952299707e-07,26.706379324814062,1,92,26.706379324814062,28734.525644499707
4,1,0,3,1,0,7,-75,0,-0.0012825574052606177,0.0011691878228487144,0.00011343798938888974,6.840697698638591e-08,4.435608532930734,1,75,4.435608532930734,7277.169333284645
3,2,0,6,-2,0,9,-79,0,-0.001257209295342265,0.0011210385021110606,0.00013597760054681694,-1.9319268438743736e-07,10.795721459366383,1,79,10.795721459366383,7579.620498039626
3,1,0,3,-34,0,4,-1,0,-0.0011691878228487144,0.00011378624394402568,0.0010553705459852385,-3.103291945031478e-08,1.6098132911240113,1,34,1.6098132911240113,54737.88643296016
0,8,0,4,-46,0,4,5,0,-0.002045386024107556,0.00011001616526947783,0.0019351014156810539,-2.6844315702441446e-07,8.053201120440772,1,46,8.053201120440772,21894.006082174696
6,2,0,3,3,0,9,-83,0,-0.0015907002056791103,0.0014614673184444634,0.00012947427717372738,2.413899390805909e-07,12.47816335007734,1,83,12.47816335007734,6668.660810394611
4,5,0,6,4,0,10,-96,0,-0.0019351014156810539,0.0018116043345837844,0.00012400979597315407,5.127148758846557e-07,21.325908365860254,1,96,21.325908365860254,5102.990298182246
4,5,0,6,4,0,10,-97,0,-0.0019351014156810539,0.0018116043345837844,0.00012293704830724543,-5.60032790024095e-07,21.398725280572744,1,97,21.398725280572744,4652.1907703361885
4,2,0,4,0,0,6,-62,0,-0.0013269608486436745,0.0012082903080278123,0.00011867868913644012,8.14852057790666e-09,0.31113076548209834,2,62,0.31113076548209834,4059.512119523144
5,5,0,3,5,0,8,-90,0,-0.0019862555038104063,0.0018791792959005039,0.00010717270719231978,9.649928241727002e-08,10.323519373678394,1,90,10.323519373678394,10756.828477636349
6,5,0,1,7,0,5,-53,0,-0.0020351783964062515,0.0019182614902478053,0.00011696475929971748,4.7853141271151506e-08,3.9555901153018342,1,53,3.9555901153018342,9660.333519496662
4,1,0,4,-1,0,8,-41,0,-0.0012825574052606177,0.0010553705459852385,0.0002273375946174386,1.507353420593556e-07,5.308273547571941,1,41,5.308273547571941,8005.865422838552
5,4,0,1,5,0,4,-18,0,-0.0017666927178038535,0.0015032438859202853,0.0002634415607872964,-7.271096271951882e-09,1.1316826454311106,1,18,1.1316826454311106,41002.358743363395
4,0,0,5,-1,0,9,-92,0,-0.0012082903080278123,0.0010910354688303623,0.00011713669001059856,-1.1814918685158077e-07,3.739110777246702,1,92,3.739110777246702,3299.3309270765153
3,1,0,2,-23,0,5,-2,0,-0.0011691878228487144,0.00011736298885182774,0.0010518133842167875,-1.144978009929784e-08,0.3908438089503916,1,23,0.3908438089503916,35902.90722371058
3,3,0,1,4,0,4,-30,0,-0.0014614673184444634,0.0012960421937048758,0.00016535071382661997,-7.441091296757872e-08,2.80899380010862,1,30,2.80899380010862,6241.947672047962
3,5,0,5,4,0,8,-86,0,-0.0018791792959005039,0.0017666927178038535,0.00011201004217315147,-4.765359234988435e-07,17.047499930000896,1,86,17.047499930000896,3998.5915058521014
1,7,0,6,4,0,7,-80,0,-0.0019182614902478053,0.0018116043345837844,0.00010619983640449538,-4.5731925952564867e-07,15.077448708425242,1,80,15.077448708425242,
2,4,0,3,3,0,5,-44,0,-0.0016007680175258506,0.0014614673184444634,0.00013944614511242234,1.4544603103524602e-07,7.111926624163899,1,44,7.111926624163899,6818.482804796886
5,5,0,6,4,0,11,-74,0,-0.0019862555038104063,0.0018116043345837844,0.00017507398797129362,4.2281874467180874e-07,10.543684085579063,1,74,10.543684085579063,4365.19639803885
6,4,0,6,2,0,12,-63,0,-0.0018116043345837844,0.0015907002056791103,0.00022080532685120148,-9.880205347270743e-08,11.78635385214706,1,63,11.78635385214706,26318.8835576621
3,4,0,5,3,0,8,-80,0,-0.0016697023644453982,0.001548847611724769,0.00012026063604529243,-5.941166753367384e-07,15.573403952400618,1,80,15.573403952400618,3151.659510862628
5,5,0,5,4,0,10,-53,0,-0.0019862555038104063,0.0017666927178038535,0.0002199516944460256,3.8890843947298956e-07,9.317349371917091,1,53,9.317349371917091,5269.469896430045
0,6,0,4,-38,0,4,3,0,-0.0016373163861810895,0.00013105927122018031,0.00150612480128053,-1.3231368037932428e-07,7.734504929074767,1,38,7.734504929074767,30639.082668849725
1,6,0,5,-52,0,6,2,0,-0.0017098504656313984,0.0001193448030539834,0.0015907002056791103,1.945431016951455e-07,10.9386468512662,1,52,10.9386468512662,29819.42253676958
