l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,gamma_a,gamma_b,gamma_c,delta,kappa,mu_a,mu_b,mu_c,mu_max,E_th_over_E_star,E_eq_over_E_star,E_th_ceiling_over_E_star,detuning_dominated,refine
6,-1,0,5,-3,0,11,-40,0,-0.0013704000046100727,0.0010461418846491957,0.00032425604628225313,-3.37504123438315e-08,-2.59762430647591e-09,3.9316696412390233e-10,-2.0736786237804394e-09,7.780973917909058,315343.60321026045,2448988.495891065,1195395.6632363622,2448988.495891065,0.0,0.0,1.3086283559375343e-14,False,1
5,-4,0,1,-1,0,6,-40,0,-0.0009859727636264634,0.0007983859159747622,0.00018758670926278566,-1.1536556335343545e-10,-1.1660839609791425e-10,3.8675320528292807e-10,-1.383889155614354e-10,0.34171284390527906,1870024.28317307,1507561.6533898895,156051.4521962236,1870024.28317307,0.0,0.0,6.844553018302405e-14,True,1
3,2,0,5,-1,0,6,-30,0,-0.0015200389411412969,0.0012764480458140133,0.0002435928794673727,-7.245981903674689e-08,-5.209477532470591e-10,8.546277117311589e-11,1.984140089207609e-09,0.6043498563412731,12673.10795606296,376048.1527835095,74127.30052544405,376048.1527835095,0.0,0.0,2.1666068060148777e-12,False,1
6,2,0,5,1,0,7,-58,0,-0.0016598048850307147,0.0015084316327956082,0.00015136979739541583,-1.6369989094870238e-07,-1.35067104234314e-09,7.202519430617433e-09,-3.4548396905895867e-09,0.6744830755818446,6837.274359133404,274273.4998933078,12780.811091314074,274273.4998933078,0.0,0.0,7.181726198965384e-12,False,1
2,-3,0,14,-44,0,16,-60,0,-0.0006815973580812953,0.0003682831806025026,0.00031331382779102796,-8.642325033759965e-13,8.213283436955814e-10,5.477906126497612e-09,-3.49687764747246e-10,-0.09464014779221368,184468.21480232547,39045.0331737759,5402.033852730371,184468.21480232547,1.0916801892400317e-09,1.0916811097037267e-09,7.394837315475482e-12,True,1
4,0,0,5,-4,0,9,-36,0,-0.0012845713174545576,0.0009859727636264634,0.0002986140393180616,-1.8170845521393968e-08,-1.1536556335343545e-10,2.1324353720782758e-10,1.5485489967366137e-08,2.012116863934588,108263.38531491107,128109.4351761945,38796.924419008814,128109.4351761945,0.0,0.0,1.2573273924661771e-11,False,1
3,0,0,5,-43,0,6,-4,0,-0.0012199596092063406,0.00014777453571070842,0.0010721369249209064,-9.023582563482672e-09,6.263311902226907e-10,-2.4463445962530628e-09,-4.814857472576137e-08,4.913123850230457,122355.57356951178,15077.770826707165,109260.87929280818,122355.57356951178,0.0,0.0,3.788624888653839e-11,True,1
0,3,0,6,-47,0,6,-3,0,-0.0012493730934220405,0.0001602306370268653,0.0010890596538083064,-1.4320640941470949e-08,1.2683366758568027e-09,-1.2830530937738436e-09,-8.280258686891619e-08,8.08013155113109,120134.22120851249,15633.965268860391,106261.04039386676,120134.22120851249,0.0,0.0,3.76126329491991e-11,True,1
6,-1,0,1,2,0,7,-52,0,-0.0013704000046100727,0.0012024296129783663,0.0001679940164803917,-3.37504123438315e-08,-2.622059628018883e-09,2.21021324385741e-09,2.362484868541695e-08,2.3109582679742813,76872.30378193581,116902.61053203359,16361.555008826937,116902.61053203359,0.0,0.0,3.233556142562797e-11,False,1
3,3,0,5,2,0,8,-60,0,-0.001777073431654347,0.0016116456045286907,0.0001653189893341119,-2.633353495366875e-07,-1.2746794401609717e-07,6.796165798617242e-09,-1.0883779154443815e-07,11.835211001774018,73812.00048827265,113799.60672447854,17942.1294368504,113799.60672447854,0.0,0.0,1.9837875446381365e-11,False,1
3,0,0,2,0,0,5,-47,0,-0.0012199596092063406,0.001084184424851423,0.00013582669348353933,-9.023582563482672e-09,-2.6316811470712985e-09,1.2448343295476439e-09,5.1509128621684414e-08,4.596747107005311,107237.81044102163,96628.10920494856,12117.826992666118,107237.81044102163,0.0,0.0,5.329161822263042e-11,True,1
6,2,0,3,2,0,9,-80,0,-0.0016598048850307147,0.0015200389411412969,0.0001395540386632362,-1.6369989094870238e-07,-7.245981903674689e-08,7.377768205743104e-08,-2.1190522618151804e-07,15.140742383934224,93851.26937084286,102765.65930354112,9416.790415992486,102765.65930354112,0.0,0.0,5.7712765997897314e-11,True,1
3,7,0,5,5,0,8,-76,0,-0.0025508556724188006,0.0024198285278438287,0.0001313660770305507,-1.900343509302829e-07,-6.484047692647287e-07,4.667700575270647e-08,3.3893245557879703e-07,14.927642039521599,97995.35787966171,49371.41551377104,5731.672956258753,97995.35787966171,0.0,0.0,1.0135754567961054e-10,True,1
1,2,0,4,-33,0,5,-3,0,-0.0012024296129783663,0.0001562318111100798,0.0010461418846491957,-2.622059628018883e-09,1.92507151118008e-10,-2.59762430647591e-09,-5.591721909071687e-08,4.558298412552624,97912.89770995559,12735.737003316199,85188.24459727744,97912.89770995559,0.0,0.0,5.7544733427256766e-11,True,1
4,2,0,4,0,0,8,-34,0,-0.0015653896810087025,0.0012845713174545576,0.00028091397714917097,-9.699438676341113e-08,-1.8170845521393968e-08,1.6490273991710495e-10,9.56135950262206e-08,6.093345850879268,70033.82604048259,80424.80453870943,17902.302187287125,80424.80453870943,0.0,0.0,4.264578234697225e-11,False,1
6,-7,0,6,-10,0,10,-85,0,-0.0007867232250124543,0.0006416215888040751,0.00014510166145037336,-6.451783819651501e-11,1.6171087199592244e-12,1.23248650656384e-07,2.5241994150264346e-11,0.003023696827059821,34336.23948679944,76701.55234681764,3.5598233472771175,76701.55234681764,5.8537419984846255e-08,5.8537419987418826e-08,4.678423138586369e-11,False,2
2,-3,0,14,-48,0,14,-48,0,-0.0006815973580812953,0.00034079663401964113,0.00034079663401964113,-8.642325033759965e-13,1.375740411099256e-09,1.375740411099256e-09,-4.090042013079644e-09,-0.4521104308953418,75343.30146106983,35705.662461807755,35705.662461807755,75343.30146106983,6.397206744346182e-11,6.39997467154463e-11,4.404087188878777e-11,True,1
4,4,0,6,3,0,10,-79,0,-0.002096571188862388,0.0019398395214352587,0.00015614847297180308,-7.370465798437274e-07,-5.11030322157432e-07,6.403325731751869e-08,-5.831944553261539e-07,28.458375652820767,63482.27330398404,71193.76343677532,7574.1221197846835,71193.76343677532,0.0,0.0,8.665288561924256e-11,False,1
2,5,0,5,3,0,7,-54,0,-0.0020500032941760493,0.001888070159604537,0.00016207797876551018,-8.23427041117732e-08,-4.2601459945553765e-07,4.498778908136767e-09,1.4484419399779166e-07,5.148861966457607,63351.19541248786,21604.83139394848,5758.704466389978,63351.19541248786,0.0,0.0,1.616283581741969e-10,True,1
3,4,0,5,3,0,8,-69,0,-0.002032805134904902,0.001888070159604537,0.0001444771978395598,-6.343147104648854e-07,-4.2601459945553765e-07,1.5747237682882043e-08,-2.5777746080497127e-07,16.690069144997683,49551.64296097933,63285.61673971635,9336.920512299885,63285.61673971635,0.0,0.0,5.465579177735363e-11,False,1
1,5,0,5,-38,0,6,2,0,-0.001826233191021668,0.00016617212366887876,0.0016598048850307147,-3.2731828388966784e-07,4.4506670790253076e-10,-1.6369989094870238e-07,-2.5618232207444934e-07,11.175813448298026,49102.70646531925,7249.1569161036305,61015.00737470871,61015.00737470871,0.0,0.0,1.1907068085882597e-10,False,1
6,2,0,2,2,0,8,-47,0,-0.0016598048850307147,0.0014516366897878896,0.00020830621526108967,-1.6369989094870238e-07,-4.601032921078097e-08,1.2771865203187512e-09,1.3802001826461116e-07,6.044312061704765,46854.10043332051,60308.779182761784,9121.965653362144,60308.779182761784,0.0,0.0,1.0777307067260799e-10,False,1
4,5,0,6,4,0,10,-84,0,-0.0023571474246888826,0.0022093157464766807,0.0001469675625518089,-7.6357234915651e-07,-8.528980162562377e-07,1.1458551646879602e-07,-8.641156603928814e-07,29.22506855844831,59739.16464102867,53179.62880006958,4927.425155949177,59739.16464102867,0.0,0.0,1.68280352294005e-10,True,1
2,-2,0,3,-31,0,5,-8,0,-0.0007958943667934111,0.00012865138222662467,0.0006672400481460154,-6.697320003621922e-11,8.095782674020297e-11,7.367494991905916e-13,-2.9364207710345924e-09,0.21474245616058477,58189.16566468962,9404.789736826959,48795.718818980415,58189.16566468962,4.8704877154770805e-12,1.4987768391095076e-10,1.3613951475132598e-10,True,1
5,3,0,6,2,0,9,-48,0,-0.001888070159604537,0.0016598048850307147,0.00022832947445349756,-4.2601459945553765e-07,-1.6369989094870238e-07,1.153936730144363e-09,6.419987967523459e-08,5.678405858136916,24885.352608546586,53600.49377461873,20192.219134032384,53600.49377461873,0.0,0.0,2.108028945838453e-11,False,1
3,5,0,5,4,0,8,-75,0,-0.002287100982825212,0.0021542255236564572,0.00013329559742224128,-8.175078322448832e-07,-8.099594176837719e-07,4.0898615421926534e-08,4.20138253486458e-07,21.434392192475716,53334.780389627485,50605.42429186659,6768.41091803997,53334.780389627485,0.0,0.0,8.362481122587512e-11,False,1
4,4,0,5,3,0,9,-53,0,-0.002096571188862388,0.001888070159604537,0.00020831052116218355,-7.370465798437274e-07,-4.2601459945553765e-07,3.4130955266548505e-09,-1.9050809566770882e-07,12.904711607365664,35540.176689449516,52210.23726071693,14108.355214651217,52210.23726071693,0.0,0.0,3.463226916774751e-11,False,1
4,5,0,6,4,0,10,-83,0,-0.0023571474246888826,0.0022093157464766807,0.00014882314018284845,-7.6357234915651e-07,-8.528980162562377e-07,9.162816224473443e-08,9.914619706467322e-07,26.419719544546194,49763.80537659188,44630.63865971289,3948.8973039449766,49763.80537659188,0.0,0.0,2.676994510772261e-10,True,1
1,8,0,4,5,0,5,-26,0,-0.002593514277053763,0.0023571474246888826,0.00023660023619173238,-3.3473512448523033e-10,-7.6357234915651e-07,3.524594786935337e-11,2.3338382685190312e-07,4.377476399013085,48645.34108526502,12923.1029828143,4437.805104534846,48645.34108526502,0.0,0.0,3.1854587442690997e-10,True,1
5,-1,0,4,-3,0,7,-30,0,-0.0012764480458140133,0.0009969383342126287,0.00027950038130238985,-5.209477532470591e-10,-1.0438554620304316e-09,7.841416738643831e-11,-9.33029899478563e-09,0.35427565224375634,48391.93617787077,37619.49356684853,10612.380499361356,48391.93617787077,0.0,0.0,1.555742896529324e-10,True,1
5,2,0,5,0,0,10,-42,0,-0.0016116456045286907,0.00132870520909623,0.0002832291301174489,-1.2746794401609717e-07,-2.5066272933336944e-08,6.405603144423767e-10,2.887346849883912e-07,9.27980834749871,47385.3892237758,42543.99296681773,9102.839785466858,47385.3892237758,0.0,0.0,1.6078049548940957e-10,True,1
4,2,0,4,1,0,8,-77,0,-0.0015653896810087025,0.0014359092136756813,0.00012960605206947375,-9.699438676341113e-08,-3.8279507645249305e-09,,1.2558473645252546e-07,4.076748060880316,40217.33896262117,46591.03312728595,,46591.03312728595,0.0,0.0,3.186938801388778e-10,True,1
4,0,0,5,-3,0,7,-36,0,-0.0012845713174545576,0.0010461418846491957,0.00023831399407868325,-1.8170845521393968e-08,-2.59762430647591e-09,2.2094604411783293e-10,-1.1543872667865197e-07,3.9598944304851904,43528.693710138214,35876.7212445489,8174.869530378085,43528.693710138214,0.0,0.0,2.130471462089596e-10,True,1
2,3,0,3,-23,0,3,2,0,-0.0016921634726612574,0.00017214748014866648,0.0015200389411412969,-1.729939508844375e-07,1.7971738370263942e-11,-7.245981903674689e-08,2.29486287060994e-08,2.1505716971369364,20853.420620374578,16132.353255507385,43008.571248475135,43008.571248475135,0.0,0.0,2.719757983602191e-11,False,1
4,2,0,5,0,0,9,-46,0,-0.0015653896810087025,0.00132870520909623,0.00023705240476396645,-9.699438676341113e-08,-2.5066272933336944e-08,1.2502923239796652e-09,3.6793285149399994e-07,9.946181433910652,40918.60475457869,35835.29040863646,6408.105730653118,40918.60475457869,0.0,0.0,2.715384862058072e-10,True,1
3,7,0,5,5,0,6,-58,0,-0.0025508556724188006,0.0024198285278438287,0.00013138069176053745,-1.900343509302829e-07,-6.484047692647287e-07,7.1349376128442304e-09,3.5354718556533313e-07,6.425516793192711,40835.18220583885,21053.552669241868,2387.2824350204664,40835.18220583885,0.0,0.0,5.951720438177497e-10,True,1
1,8,0,5,5,0,6,-43,0,-0.002593514277053763,0.0024198285278438287,0.0001742341949658826,-3.3473512448523033e-10,-6.484047692647287e-07,6.19377790649453e-10,5.484457559481667e-07,8.569116323078282,40522.0044922929,24416.662528026918,2722.2968102626396,40522.0044922929,0.0,0.0,6.072357269607084e-10,True,1
3,0,0,4,-3,0,5,-28,0,-0.0012199596092063406,0.0009969383342126287,0.00022308546439977185,-9.023582563482672e-09,-1.0438554620304316e-09,6.272621834714679e-11,6.418940605998694e-08,2.1461216859441556,40391.22473410148,33327.43293758451,7458.681327021594,40391.22473410148,0.0,0.0,2.513960653312e-10,True,1
5,2,0,6,-1,0,11,-55,0,-0.0016116456045286907,0.0013704000046100727,0.00024078896415751048,-1.2746794401609717e-07,-3.37504123438315e-08,4.470741774557206e-09,-4.566357611076287e-07,11.753316766308403,39954.55774778858,35176.681025893165,6197.353735296027,39954.55774778858,0.0,0.0,2.859005858043162e-10,True,1
5,5,0,3,5,0,8,-75,0,-0.0024198285278438287,0.002287100982825212,0.00013329559742224128,-6.484047692647287e-07,-8.175078322448832e-07,4.0898615421926534e-08,5.680524036246783e-07,13.959858748958148,39186.673450654074,32072.2161318986,3267.275133434287,39186.673450654074,0.0,0.0,3.3946392399501634e-10,False,1
6,3,0,3,3,0,9,-68,0,-0.0019398395214352587,0.001777073431654347,0.00016329844862888822,-5.11030322157432e-07,-2.633353495366875e-07,1.8412232553853014e-08,5.323588479764271e-07,12.942680760715714,34022.63905202275,38725.33734788497,3967.731040330808,38725.33734788497,0.0,0.0,3.643787648492158e-10,True,1
6,3,0,2,3,0,8,-39,0,-0.0019398395214352587,0.0016921634726612574,0.0002478604359281364,-5.11030322157432e-07,-1.729939508844375e-07,2.9687555035666083e-10,1.8438715413500104e-07,5.655663596501527,20194.240679238792,37851.990106163896,7602.554712117123,37851.990106163896,0.0,0.0,1.5838887573870166e-10,False,1
3,7,0,4,5,0,7,-45,0,-0.0025508556724188006,0.0023571474246888826,0.0001931365617072101,-1.900343509302829e-07,-7.6357234915651e-07,9.66404303277984e-10,-5.716860227078166e-07,8.671688069950376,36717.51961640369,21428.969330549084,2929.610937680248,36717.51961640369,0.0,0.0,5.966733343383955e-10,True,1
3,3,0,4,-31,0,5,2,0,-0.001777073431654347,0.00016548519069124986,0.0016116456045286907,-2.633353495366875e-07,7.778402414676799e-11,-1.2746794401609717e-07,5.736356559356802e-08,3.1009691430512483,20446.859118289663,8945.817661105977,35753.590029608415,35753.590029608415,0.0,0.0,8.019157101348132e-11,False,1
6,3,0,6,2,0,12,-51,0,-0.0019398395214352587,0.0016598048850307147,0.00027947500772290137,-5.11030322157432e-07,-1.6369989094870238e-07,2.3957668733505677e-09,-5.596286816425718e-07,12.393187903722803,31722.377063188313,35278.66680512716,6189.02258004775,35278.66680512716,0.0,0.0,2.747349190714715e-10,True,1
2,2,0,2,1,0,4,-25,0,-0.0014516366897878896,0.0012494666394183471,0.0002020522649952439,-4.601032921078097e-08,-1.0055076559227109e-08,3.6616307001917747e-11,-1.1778537429858044e-07,3.031611271487099,34801.8663841337,32042.770202395997,5200.508959945626,34801.8663841337,0.0,0.0,3.7370364655669794e-10,True,1
4,2,0,5,-26,0,5,0,0,-0.0015653896810087025,0.00023660023619173238,0.00132870520909623,-9.699438676341113e-08,3.524594786935337e-11,-2.5066272933336944e-08,-8.423572074004078e-08,2.2929551811187547,27940.17441818928,6440.423197820429,34666.00398805023,34666.00398805023,0.0,0.0,2.683104985674125e-10,False,1
2,1,0,6,-3,0,8,-62,0,-0.0012494666394183471,0.0010890596538083064,0.00016059199280246656,-1.0055076559227109e-08,-1.2830530937738436e-09,1.082407532666755e-08,1.8500719242589385e-07,5.135018516556011,34628.81131482697,30226.970821424897,4449.7464708345615,34628.81131482697,0.0,0.0,4.638714653277302e-10,True,1
2,5,0,5,-39,0,5,3,0,-0.0020500032941760493,0.00016203069726513847,0.001888070159604537,-8.23427041117732e-08,3.865988700604832e-10,-4.2601459945553765e-07,9.756269362618669e-08,2.1380828372587892,34332.17120421772,3550.868884761239,9236.726984011046,34332.17120421772,0.0,0.0,4.2538590726792237e-10,True,1
4,4,0,6,3,0,10,-78,0,-0.002096571188862388,0.0019398395214352587,0.00015803089334075616,-7.370465798437274e-07,-5.11030322157432e-07,4.561723865220657e-08,1.2992259136265262e-06,24.36441582349434,34197.46161906607,33853.24412089498,2961.7322347072895,34197.46161906607,0.0,0.0,5.797350546126585e-10,True,1
4,3,0,6,2,0,10,-70,0,-0.0018346253732878105,0.0016598048850307147,0.00017572706200710258,-3.434660740353971e-07,-1.6369989094870238e-07,2.271501533565193e-08,9.065737500068768e-07,17.39087757746876,32910.978670413024,31333.447789454556,3369.92879375307,32910.978670413024,0.0,0.0,5.823011055884322e-10,True,1
6,5,0,6,4,0,12,-53,0,-0.0024795189790314267,0.0022093157464766807,0.0002710022420506273,-4.789310381339418e-07,-8.528980162562377e-07,3.3878413215953277e-09,7.990094958811901e-07,12.226912297151992,32544.427386188443,23113.881935360907,4146.998099610246,32544.427386188443,0.0,0.0,4.457790280046781e-10,True,1
6,-1,0,4,-2,0,6,-21,0,-0.0013704000046100727,0.001033822794122832,0.00033659762060669397,-3.37504123438315e-08,-8.502082218046183e-10,1.435319171414406e-11,2.0410119453253064e-08,0.6393813255406945,22215.16251132391,32358.17568152082,10544.484078778898,32358.17568152082,0.0,0.0,1.8301811161079423e-10,False,1
