l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
0,6,0,2,0,2,-0.0018886592089966776,0.0009538753378151529,0.0009538753378151529,1.9091466633628165e-05,0.010108476183890384
0,7,0,2,0,3,-0.0021204201710575787,0.0009538753378151529,0.0011860096719051476,1.9464838662721588e-05,0.0091797083089496
0,8,0,2,0,4,-0.002359676960396333,0.0009538753378151529,0.00142210207358038,1.63004509991997e-05,0.0069079163261660465
0,8,0,3,0,3,-0.002359676960396333,0.0011860096719051476,0.0011860096719051476,1.2342383413962293e-05,0.0052305394429452996
0,1,1,-15,1,-2,-0.000738948454077827,0.00010578880168925861,0.0006023269048774995,-3.0832747511068946e-05,0.041725166810920214
0,1,1,-14,1,-2,-0.000738948454077827,0.00011436477230035796,0.0006023269048774995,-2.2256776899969607e-05,0.03011952562746074
0,8,1,-14,1,7,-0.002359676960396333,0.00011436477230035796,0.002215705167770865,-2.9607020325110155e-05,0.012547065052555897
0,1,1,-13,1,-2,-0.000738948454077827,0.00012421068509566594,0.0006023269048774995,-1.2410864104661656e-05,0.016795304241010736
0,4,1,-13,1,3,-0.00142210207358038,0.00012421068509566594,0.0012725407985733764,-2.53505899113376e-05,0.017826139475004946
0,6,1,-13,1,5,-0.0018886592089966776,0.00012421068509566594,0.001734103264389586,-3.0345259511425568e-05,0.016067091070149198
0,7,1,-13,1,6,-0.0021204201710575787,0.00012421068509566594,0.0019747070189232627,-2.1502467038650008e-05,0.010140663313877767
0,8,1,-13,1,7,-0.002359676960396333,0.00012421068509566594,0.002215705167770865,-1.9761107529801987e-05,0.008374496959313828
0,1,1,-12,1,-2,-0.000738948454077827,0.0001317052176195001,0.0006023269048774995,-4.916331580827457e-06,0.006653145498440494
0,4,1,-12,1,3,-0.00142210207358038,0.0001317052176195001,0.0012725407985733764,-1.7856057387503508e-05,0.012556101083903136
0,6,1,-12,1,5,-0.0018886592089966776,0.0001317052176195001,0.001734103264389586,-2.2850726987591477e-05,0.012098914869734806
0,7,1,-12,1,6,-0.0021204201710575787,0.0001317052176195001,0.0019747070189232627,-1.40079345148157e-05,0.006606206970682191
0,8,1,-12,1,7,-0.002359676960396333,0.0001317052176195001,0.002215705167770865,-1.226657500596768e-05,0.005198412838640158
0,1,1,-11,1,-2,-0.000738948454077827,0.00014098639381203223,0.0006023269048774995,4.36484461170466e-06,0.005906832320465141
0,4,1,-11,1,3,-0.00142210207358038,0.00014098639381203223,0.0012725407985733764,-8.574881194971283e-06,0.0060297227282585875
0,5,1,-11,1,4,-0.0016579761203197167,0.00014098639381203223,0.0014878228371177796,-2.916688938990478e-05,0.017591863376343664
0,6,1,-11,1,5,-0.0018886592089966776,0.00014098639381203223,0.001734103264389586,-1.3569550795059252e-05,0.007184753464479109
0,7,1,-11,1,6,-0.0021204201710575787,0.00014098639381203223,0.0019747070189232627,-4.726758322283909e-06,0.0022291611760731343
0,8,1,-11,1,7,-0.002359676960396333,0.00014098639381203223,0.002215705167770865,-2.9853988134358883e-06,0.0012651726755574452
0,1,1,-10,1,-2,-0.000738948454077827,0.00015689169501995108,0.0006023269048774995,2.0270145819623595e-05,0.02743106871360843
0,4,1,-10,1,3,-0.00142210207358038,0.00015689169501995108,0.0012725407985733764,7.3304200129474355e-06,0.005154637032833991
0,5,1,-10,1,4,-0.0016579761203197167,0.00015689169501995108,0.0014878228371177796,-1.3261588181986061e-05,0.007998660547311597
0,6,1,-10,1,5,-0.0018886592089966776,0.00015689169501995108,0.001734103264389586,2.3357504128594664e-06,0.001236724127747906
0,7,1,-10,1,6,-0.0021204201710575787,0.00015689169501995108,0.0019747070189232627,1.1178542885635027e-05,0.005271852738535131
0,8,1,-10,1,7,-0.002359676960396333,0.00015689169501995108,0.002215705167770865,1.2919902394483047e-05,0.005475284376346587
0,2,1,-9,1,-1,-0.0009538753378151529,0.00017709054959521184,0.000758058289083616,-1.8726499136324988e-05,0.019632019399115557
0,3,1,-9,1,1,-0.0011860096719051476,0.00017709054959521184,0.0009785032656031902,-3.041585670674569e-05,0.025645538503819412
0,4,1,-9,1,3,-0.00142210207358038,0.00017709054959521184,0.0012725407985733764,2.752927458820817e-05,0.01935815656248824
0,5,1,-9,1,4,-0.0016579761203197167,0.00017709054959521184,0.0014878228371177796,6.9372663932746725e-06,0.004184177509104848
0,6,1,-9,1,5,-0.0018886592089966776,0.00017709054959521184,0.001734103264389586,2.25346049881202e-05,0.011931535811636116
0,2,1,-8,1,-1,-0.0009538753378151529,0.0001942497109787832,0.000758058289083616,-1.5673377527536695e-06,0.0016431264030199685
0,3,1,-8,1,1,-0.0011860096719051476,0.0001942497109787832,0.0009785032656031902,-1.3256695323174373e-05,0.011177560889431424
0,5,1,-8,1,4,-0.0016579761203197167,0.0001942497109787832,0.0014878228371177796,2.409642777684599e-05,0.014533639828418845
0,2,1,-7,1,-1,-0.0009538753378151529,0.00021361879346884448,0.000758058289083616,1.7801744737307645e-05,0.018662548481526382
0,3,1,-7,1,1,-0.0011860096719051476,0.00021361879346884448,0.0009785032656031902,6.11238716688705e-06,0.005153741416854056
0,4,1,-7,1,2,-0.00142210207358038,0.00021361879346884448,0.0011876060720696538,-2.0877208041881774e-05,0.014680527108240485
0,4,1,-6,1,2,-0.00142210207358038,0.00025234878420021,0.0011876060720696538,1.7852782689483813e-05,0.012553798367325663
0,1,1,-5,1,-3,-0.000738948454077827,0.00030881498435276556,0.0004344394724834455,4.306002758384052e-06,0.00582720314877408
0,1,1,-4,1,-4,-0.000738948454077827,0.0003748425124691666,0.0003748425124691666,1.0736570860506232e-05,0.014529526114111666
0,2,1,-4,1,-2,-0.0009538753378151529,0.0003748425124691666,0.0006023269048774995,2.3294079531513195e-05,0.02442046524115843
0,5,1,-4,1,3,-0.0016579761203197167,0.0003748425124691666,0.0012725407985733764,-1.0592809277173727e-05,0.006388999906181433
0,6,1,-4,1,4,-0.0018886592089966776,0.0003748425124691666,0.0014878228371177796,-2.599385940973151e-05,0.013763128512496633
0,7,1,-4,1,5,-0.0021204201710575787,0.0003748425124691666,0.001734103264389586,-1.1474394198825958e-05,0.005411377591783142
0,8,1,-4,1,6,-0.002359676960396333,0.0003748425124691666,0.0019747070189232627,-1.0127429003903548e-05,0.0042918709526250315
0,3,1,-3,1,-1,-0.0011860096719051476,0.0004344394724834455,0.000758058289083616,6.4880896619137676e-06,0.005470520026612953
0,4,1,-3,1,1,-0.00142210207358038,0.0004344394724834455,0.0009785032656031902,-9.159335493744451e-06,0.0064407018764020855
0,3,1,-2,1,-2,-0.0011860096719051476,0.0006023269048774995,0.0006023269048774995,1.8644137849851278e-05,0.015720055486480353
0,6,1,-2,1,3,-0.0018886592089966776,0.0006023269048774995,0.0012725407985733764,-1.3791505545801813e-05,0.007302273210595969
0,7,1,-2,1,4,-0.0021204201710575787,0.0006023269048774995,0.0014878228371177796,-3.027042906229979e-05,0.014275674923051755
0,8,1,-2,1,5,-0.002359676960396333,0.0006023269048774995,0.001734103264389586,-2.3246791129247386e-05,0.009851683734430681
0,8,1,2,1,2,-0.002359676960396333,0.0011876060720696538,0.0011876060720696538,1.553518374297451e-05,0.006583606147667437
1,1,0,1,1,-7,-0.0009785032656031902,0.000738948454077827,0.00021361879346884448,-2.5936018056518686e-05,0.02650580633528151
1,1,0,1,1,-6,-0.0009785032656031902,0.000738948454077827,0.00025234878420021,1.2793972674846792e-05,0.013075043410263996
1,2,0,1,1,-3,-0.0011876060720696538,0.000738948454077827,0.0004344394724834455,-1.4218145508381255e-05,0.011972105770395012
1,4,0,1,1,-1,-0.0014878228371177796,0.000738948454077827,0.000758058289083616,9.183906043663337e-06,0.006172714798123722
1,5,0,1,1,1,-0.001734103264389586,0.000738948454077827,0.0009785032656031902,-1.6651544708568954e-05,0.009602395111360563
1,7,0,1,1,4,-0.002215705167770865,0.000738948454077827,0.0014878228371177796,1.1066123424741461e-05,0.004994402497997808
