l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
0,5,0,1,0,2,-0.0014376844518621038,0.0006390285330416885,0.0008237876227291485,2.5131703908733236e-05,0.017480681436167995
0,6,0,2,0,2,-0.0016373163861810895,0.0008237876227291485,0.0008237876227291485,1.0258859277207516e-05,0.006265654801840401
0,7,0,2,0,3,-0.001837851339960868,0.0008237876227291485,0.001025482836392379,1.1419119160659564e-05,0.006213298601671832
0,8,0,2,0,4,-0.002045386024107556,0.0008237876227291485,0.0012318460189154454,1.0247617537037686e-05,0.0050101141868850564
0,8,0,3,0,3,-0.002045386024107556,0.001025482836392379,0.001025482836392379,5.579648677202145e-06,0.0027279196256543604
0,4,1,-20,1,3,-0.0012318460189154454,7.800483371878973e-05,0.0011616347408751621,7.793555678506543e-06,0.006326728794698079
0,4,1,-19,1,3,-0.0012318460189154454,8.065993340083952e-05,0.0011616347408751621,1.0448655360556329e-05,0.008482111562738695
0,4,1,-18,1,3,-0.0012318460189154454,8.559118875464286e-05,0.0011616347408751621,1.5379910714359655e-05,0.012485254226742232
0,4,1,-17,1,3,-0.0012318460189154454,9.145606055134993e-05,0.0011616347408751621,2.12447825110667e-05,0.01724629717094938
0,4,1,-16,1,3,-0.0012318460189154454,9.522420164944895e-05,0.0011616347408751621,2.501292360916575e-05,0.020305235577404296
0,7,1,-15,1,6,-0.001837851339960868,0.00010113155394754835,0.0017098504656313984,-2.686932038192119e-05,0.014619963975156608
0,8,1,-15,1,7,-0.002045386024107556,0.00010113155394754835,0.0019182614902478053,-2.5992979912202452e-05,0.012708104781122538
0,6,1,-14,1,5,-0.0016373163861810895,0.00010983096748753855,0.0015032438859202853,-2.424153277326554e-05,0.014805649645886092
0,7,1,-14,1,6,-0.001837851339960868,0.00010983096748753855,0.0017098504656313984,-1.816990684193093e-05,0.009886494324572415
0,8,1,-14,1,7,-0.002045386024107556,0.00010983096748753855,0.0019182614902478053,-1.7293566372211973e-05,0.00845491568260691
0,5,1,-13,1,4,-0.0014376844518621038,0.00011711247842563841,0.0012960421937048758,-2.452977973158954e-05,0.017062005295959286
0,6,1,-13,1,5,-0.0016373163861810895,0.00011711247842563841,0.0015032438859202853,-1.696002183516573e-05,0.010358426739210516
0,7,1,-13,1,6,-0.001837851339960868,0.00011711247842563841,0.0017098504656313984,-1.0888395903831116e-05,0.005924524833473721
0,8,1,-13,1,7,-0.002045386024107556,0.00011711247842563841,0.0019182614902478053,-1.0012055434112377e-05,0.004894946634086269
0,5,1,-12,1,4,-0.0014376844518621038,0.000124097089647641,0.0012960421937048758,-1.754516850958703e-05,0.012203768696853017
0,6,1,-12,1,5,-0.0016373163861810895,0.000124097089647641,0.0015032438859202853,-9.97541061316322e-06,0.006092536969247632
0,7,1,-12,1,6,-0.001837851339960868,0.000124097089647641,0.0017098504656313984,-3.903784681828608e-06,0.002124102530464585
0,8,1,-12,1,7,-0.002045386024107556,0.000124097089647641,0.0019182614902478053,-3.027444212109435e-06,0.0014801334205020644
0,5,1,-11,1,4,-0.0014376844518621038,0.00013747178835957956,0.0012960421937048758,-4.170469797648438e-06,0.0029008241636381354
0,6,1,-11,1,5,-0.0016373163861810895,0.00013747178835957956,0.0015032438859202853,3.399288098775372e-06,0.0020761339271171296
0,7,1,-11,1,6,-0.001837851339960868,0.00013747178835957956,0.0017098504656313984,9.470914030109984e-06,0.005153253597927916
0,8,1,-11,1,7,-0.002045386024107556,0.00013747178835957956,0.0019182614902478053,1.0347254499829157e-05,0.005058827222770273
0,5,1,-10,1,4,-0.0014376844518621038,0.00015179288497789371,0.0012960421937048758,1.0150626820665688e-05,0.007060399663861212
0,6,1,-10,1,5,-0.0016373163861810895,0.00015179288497789371,0.0015032438859202853,1.7720384717089498e-05,0.010822822556867515
0,7,1,-10,1,6,-0.001837851339960868,0.00015179288497789371,0.0017098504656313984,2.379201064842411e-05,0.012945557745127904
0,8,1,-10,1,7,-0.002045386024107556,0.00015179288497789371,0.0019182614902478053,2.4668351118143066e-05,0.01206048678703883
0,4,1,-9,1,2,-0.0012318460189154454,0.00016224548908553,0.0010450091125652884,-2.4591417264626953e-05,0.019963061037675783
0,5,1,-9,1,4,-0.0014376844518621038,0.00016224548908553,0.0012960421937048758,2.0603230928301986e-05,0.014330843532192664
0,4,1,-8,1,2,-0.0012318460189154454,0.00018494146398859499,0.0010450091125652884,-1.8954423615618991e-06,0.0015387007243248666
0,5,1,-5,1,3,-0.0014376844518621038,0.0002791882474268197,0.0011616347408751621,3.138536439878164e-06,0.002183049580742909
0,6,1,-4,1,4,-0.0016373163861810895,0.0003568467481834522,0.0012960421937048758,1.5572555707238627e-05,0.009511024160431435
0,7,1,-4,1,5,-0.001837851339960868,0.0003568467481834522,0.0015032438859202853,2.223929414286942e-05,0.012100703500503443
0,8,1,-4,1,6,-0.002045386024107556,0.0003568467481834522,0.0017098504656313984,2.1311189707294564e-05,0.010419152891490532
0,4,1,-2,1,-1,-0.0012318460189154454,0.000551813400999308,0.0006570931047518628,-2.293951316427456e-05,0.018622062183121884
