l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a,n_m
0,9,0,1,0,6,-0.0026068407810123807,0.000738948454077827,0.0018886592089966776,2.076688206212405e-05,0.007966302435263852,1
0,10,0,1,0,7,-0.002860347040788969,0.000738948454077827,0.0021204201710575787,-9.784156535632207e-07,0.00034206186858128394,1
0,11,0,1,0,8,-0.0031193002476985927,0.000738948454077827,0.002359676960396333,-2.0674833224432632e-05,0.0066280356434705,1
0,6,0,2,0,2,-0.0018886592089966776,0.0009538753378151529,0.0009538753378151529,1.9091466633628165e-05,0.010108476183890384,1
0,7,0,2,0,3,-0.0021204201710575787,0.0009538753378151529,0.0011860096719051476,1.9464838662721588e-05,0.0091797083089496,1
0,8,0,2,0,4,-0.002359676960396333,0.0009538753378151529,0.00142210207358038,1.63004509991997e-05,0.0069079163261660465,1
0,9,0,2,0,5,-0.0026068407810123807,0.0009538753378151529,0.0016579761203197167,5.010677122488892e-06,0.0019221262606391207,1
0,10,0,2,0,6,-0.002860347040788969,0.0009538753378151529,0.0018886592089966776,-1.781249397713857e-05,0.006227389097591932,1
0,8,0,3,0,3,-0.002359676960396333,0.0011860096719051476,0.0011860096719051476,1.2342383413962293e-05,0.0052305394429452996,1
0,9,0,3,0,4,-0.0026068407810123807,0.0011860096719051476,0.00142210207358038,1.2709644731470106e-06,0.0004875497124352277,1
0,10,0,3,0,5,-0.002860347040788969,0.0011860096719051476,0.0016579761203197167,-1.6361248564104956e-05,0.005720022196884206,1
0,10,0,4,0,4,-0.002860347040788969,0.00142210207358038,0.00142210207358038,-1.6142893628208997e-05,0.005643683580351951,1
0,17,0,7,0,9,-0.004706014722882456,0.0021204201710575787,0.0026068407810123807,2.1246229187503983e-05,0.004514696710190181,1
0,18,0,7,0,10,-0.0049693743676990434,0.0021204201710575787,0.002860347040788969,1.1392844147504327e-05,0.0022926113640296185,1
